id,section,number,type,knowledge_area,source_group,source_collection,source_name,source_question,question,options,correct_labels,answer_text,source_answer_labels,source_answer_text,verification_status,verification_note,reasoning,dmbok_evidence,dmbok_2017_pages,dmbok_revised_pages,dmbok_revised_section,simulator_eligible
chapter-2-q007,Chapter 2,7,multi-select,Data Handling Ethics,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),7,Bias refers to an inclination of outlook. Please select the types of data bias:,A. Data collection for pre-defined results | B. Hunch and search | C. Positive reinforcement | D. Context and Emotion | E. Biased use of data collected | F. Biased sampling methodology,A; B; E; F,Data collection for pre-defined results; Hunch and search; Biased use of data collected; Biased sampling methodology,A; B; E; F,Data collection for pre-defined results; Hunch and search; Biased use of data collected; Biased sampling methodology,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.","There are several types of bias: • Data Collection for pre-defined result: The analyst is pressured to collect data and produce results in order to reach a pre-defined conclusion, rather than as an effort to draw an objective conclusion. Bias refers to an inclination of outlook.",58; 59,60; 61,24 http://bit.ly/2lOzJqU,True
chapter-2-q008,Chapter 2,8,multiple-choice,Data Handling Ethics,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),8,If data is not integrated with care it presents risk for unethical data handling. These ethical risks intersect with fundamental problems in data management including: Limited knowledge of data’s origin and lineage; Data of poor quality; Unreliable Metadata; and Documentation of error remediation.,A. True | B. False,B,False,B,False,verified,,"The statement is False. The cited DMBOK material defines or describes the concept in a way that does not support the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","These ethical risks intersect with fundamental problems in data management, including: • Unreliable Metadata: Data consumers depend on reliable Metadata, including consistent definitions of individual data elements, documentation of data’s origin, and documentation of lineage (e.g., rules by which data is integrated).",59; 60,61; 62,3.4.5 Transforming and Integrating Data,True
chapter-2-q009,Chapter 2,9,multi-select,Data Handling Ethics,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),9,Obfuscating or redacting data is the practice of making information anonymous or removing sensitive information. Risks are present in the following instances:,A. Data storage | B. Data marketing | C. Data aggregation | D. Data marking | E. Data masking | F. Data integration,C; D; E,Data aggregation; Data marking; Data masking,C; D; E,Data aggregation; Data marking; Data masking,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.","Obfuscating or redacting data is the practice of making information anonymous, or removing sensitive information.",60,62,3.4.6 Obfuscation / Redaction of Data,True
chapter-2-q010,Chapter 2,10,multiple-choice,Data Handling Ethics,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),10,Improving an organization’s ethical behaviour requires an informal Organizational Change Management (OCM) process.,A. True | B. False,B,False,B,False,verified,,"The statement is False. The cited DMBOK material defines or describes the concept in a way that does not support the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.",Improving an organization’s ethical behavior regarding data requires a formal Organizational Change Management (OCM) process. (See Chapter 17.),61,63,3.5 Establishing an Ethical Data Culture,True
chapter-3-q001,Chapter 3,1,multiple-choice,Data Governance,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),1,"The purpose of data governance is to ensure that data is managed properly, according to policies and best practices. Data governance is focused on how decisions are made about data and how people and processes are expected to behave in relation to data.",A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","The purpose of Data Governance is to ensure that data is managed properly, according to policies and best practices (Ladley, 2012).",67; 68,70,Data Governance,True
chapter-3-q002,Chapter 3,2,multi-select,Data Governance,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),2,"The scope and focus of any data governance program depend on organizational needs, but most programs include:",A. Strategy | B. Policy | C. Data Management Projects | D. Compliance | E. Oversight | F. All of the above,F,All of the above,F,All of the above,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.",The Data Governance function guides all other data management functions.,68,70,Data Governance,True
chapter-3-q003,Chapter 3,3,multiple-choice,Data Governance,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),3,A goal of data governance is to enable an organisation to manage its data as a liability.,A. True | B. False,B,False,B,False,verified,,"The statement is False. The cited DMBOK material defines or describes the concept in a way that does not support the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.",The goal of Data Governance is to enable an organization to manage data as an asset.,69,73,1.2 Goals and Principles,True
chapter-3-q004,Chapter 3,4,multi-select,Data Governance,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),4,Drivers for data governance most often focus on reducing risk or improving processes. Please select the elements that relate to the reduction in risk:,A. Specific risk management | B. General risk management | C. Data ethics | D. Data security | E. Publicity | F. Privacy,B; D; F,General risk management; Data security; Privacy,B; D; F,General risk management; Data security; Privacy,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.",Drivers for Data Governance most often focus on reducing risks or improving processes.,70,72,1.1 Business Drivers,True
chapter-3-q005,Chapter 3,5,multi-select,Data Governance,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),5,Drivers for data governance most often focus on reducing risk or improving processes. Please select the elements that relate to the improvement of processes:,A. Regulatory compliance | B. Data quality improvements | C. Metadata management | D. Efficiency in development projects | E. Vendor management | F. All of the above,F,All of the above,F,All of the above,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.",Drivers for Data Governance most often focus on reducing risks or improving processes.,70,72,1.1 Business Drivers,True
chapter-3-q006,Chapter 3,6,multiple-choice,Data Governance,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),6,Data governance and IT governance are the same thing.,A. True | B. False,B,False,B,False,verified,,"The statement is False. The cited DMBOK material defines or describes the concept in a way that does not support the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","In contrast, Data Governance focuses exclusively on the management of data assets and of data as an asset. A common analogy is to equate Data Governance to auditing and accounting.",71,72; 73,1.1 Business Drivers,True
chapter-3-q007,Chapter 3,7,multi-select,Data Governance,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),7,Select three correct attributes a data governance programme must be:,A. Embedded | B. Flexible | C. Measures | D. Rigid | E. Independent responsibility | F. Sustainable,A; C; F,Embedded; Measures; Sustainable,A; C; F,Embedded; Measures; Sustainable,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.",• Embedded: Data Governance is not an add-on process.,71,73,1.2 Goals and Principles,True
chapter-3-q008,Chapter 3,8,multiple-choice,Data Governance,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),8,"Governance ensures data is managed, but does not include the actual act of managing data.",A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","Just as an auditor controls financial processes but does not actually execute financial management, Data Governance ensures data is properly managed without directly executing data management (see Figure 15). Figure 15 Data Governance and Data Management Data, Information, And Content Lifecycles Data Governance Ensuring data is managed Data Management Managing data to achieve goals Oversight Execution",72,74,1.3 Essential Concepts,True
chapter-3-q009,Chapter 3,9,multi-select,Data Governance,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),9,Data governance can be understood in terms of political governance. It includes the following three function types:,A. Legislative-like functions | B. Judicial-like functions | C. Ethical-like functions | D. Executive functions | E. Data-like functions | F. Morality-like functions,A; B; D,Legislative-like functions; Judicial-like functions; Executive functions,A; B; D,Legislative-like functions; Judicial-like functions; Executive functions,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.",Data Governance can be understood in terms of political governance.,73; 74,75,1.3.2 Data Governance Organization,True
chapter-3-q010,Chapter 3,10,multiple-choice,Data Governance,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),10,"The Data Governance Council (DGC) manages data governance initiatives, issues, and escalations.",A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","Data Governance Council (DGC) Manages Data Governance initiatives (e.g., development of policies or metrics), issues, and escalations.",74,76,1.3.2 Data Governance Organization,True
chapter-3-q011,Chapter 3,11,multiple-choice,Data Governance,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),11,Data Governance Office (DGO) focuses on enterprise-level data definitions and data management standards across all DAMA-DMBOK knowledge areas. Consists of coordinating data management roles.,A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.",Data Governance Office (DGO) Ongoing focus on enterprise-level data definitions and data management standards across all DAMA-DMBOK Knowledge Areas.,74,76,1.3.2 Data Governance Organization,True
chapter-3-q012,Chapter 3,12,multi-select,Data Governance,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),12,Three types of data governance operating models include:,A. Centralized | B. Decentralized | C. Feathered | D. Federated | E. Replicated | F. Duplicated,A; D; E,Centralized; Federated; Replicated,A; D; E,Centralized; Federated; Replicated,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.","In a replicated model, the same Data Governance operating model and standards are adopted by each business unit. Figure 17 Enterprise Data Governance Operating Framework Examples27",75,77,1.3.3 Data Governance Operating Model Types,True
chapter-3-q013,Chapter 3,13,multiple-choice,Data Governance,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),13,Data stewardship is the least common label to describe accountability and responsibility for data and processes to ensure effective control and use of data assets.,A. True | B. False,B,False,B,False,verified,,"The statement is False. The cited DMBOK material defines or describes the concept in a way that does not support the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.",Data Stewardship is the most common label to describe accountability and responsibility for data and processes that ensure effective control and use of data assets.,75,77,1.3.4 Data Stewardship,True
chapter-3-q014,Chapter 3,14,multi-select,Data Governance,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),14,Please select the correct types of data stewards:,A. Executive Data Steward | B. Chief Data Steward | C. Enterprise Data Steward | D. Business Data Steward | E. A Data Seller | F. All of the above,A; B; C; D,Executive Data Steward; Chief Data Steward; Enterprise Data Steward; Business Data Steward,A; B; C; D,Executive Data Steward; Chief Data Steward; Enterprise Data Steward; Business Data Steward,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.",Legislative & Judicial View Do the right things Executive View Do things right IT Organizations Data Management Executives Data Governance Steering Committee Data Governance Council (DGC) Program Manage- ment Program Steering Committees Project Management Office Projects Chief Data Officer Chief Information Officer Data Governance Office (DGO) Chief Data…,76; 77,76,1.3.2 Data Governance Organization,True
chapter-3-q015,Chapter 3,15,multiple-choice,Data Governance,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),15,"Data asset valuation is the process of understanding and calculating the economic value of data to an organisation. Value comes when the economic benefit of using data outweighs the costs of acquiring and storing it, as well as managing risk related to usage.",A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","Data asset valuation is the process of understanding and calculating the economic value of data to an organization. So, value comes when the economic benefit of using data outweighs the costs of acquiring and storing it, as well as managing risk related to usage.",77,79; 80,1.3.7 Data Asset Valuation,True
chapter-3-q016,Chapter 3,16,multi-select,Data Governance,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),16,Some ways to measure value of data include:,A. Replacement cost | B. Market value | C. Selling Data | D. Risk cost | E. Identified opportunities | F. All of the above,F,All of the above,F,All of the above,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.","Some other ways to measure value include: • Replacement cost: The replacement or recovery cost of data lost in a disaster or data breach, including the transactions, domains, catalogs, documents, and metrics within an organization. Level of Valuation Principle Value the data as an asset at a level that makes the most sense or is the easiest to measure.",78,80; 81,1.3.7 Data Asset Valuation,True
chapter-3-q017,Chapter 3,17,multi-select,Data Governance,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),17,Please select the correct Generally Accepted Information Principles:,A. Asset Principle | B. Audit Principle | C. Due Diligence Principle | D. Going Concern Principle | E. Ethical Principle | F. All of the above,A; B; C; D,Asset Principle; Audit Principle; Due Diligence Principle; Going Concern Principle,A; B; C; D,Asset Principle; Audit Principle; Due Diligence Principle; Going Concern Principle,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.","Principle Description Due Diligence Principle If a risk is known, it must be reported. See pp 108-09, Generally Accepted Information Principles.",78,80; 81,1.3.7 Data Asset Valuation,True
chapter-3-q018,Chapter 3,18,multiple-choice,Data Governance,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),18,A data governance program must contribute to the organization by identifying and delivering on specific benefits.,A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","A Data Governance function must contribute to the organization by identifying and delivering on specific benefits (e.g., reduce fines paid to regulators).",80,82,2.3 Perform Discovery and Business Alignment,True
chapter-3-q019,Chapter 3,19,multiple-choice,Data Governance,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),19,Part of alignment includes developing organizational touchpoints for data governance work. Some examples of touchpoints include: Procurement and Contracts; Budget and Funding; Regulatory Compliance; and the SDLC framework.,A. True | B. False,A,True,A,True,verified,,"The statement is True. The cited DMBOK material defines or describes the concept in a way that supports the wording in the question. Pay attention to the exact scope, qualifiers, and terminology used by DMBOK.","Part of alignment includes developing organizational touchpoints for Data Governance work. CDO Budget & Funding Procurement & Contracts Policies, Procedures, & Standards DG Management and Oversight Regulatory Compliance SDLC and Agile Control Points EAI Asset Optimization Data Quality Programs",81,83,2.4 Develop Organizational Touch Points,True
chapter-3-q020,Chapter 3,20,multi-select,Data Governance,Original 490,Original,CDMP - Data Management Fundamentals Exam Questions (Z-Library),20,A data governance strategy defines the scope and approach to governance efforts. Deliverables include:,A. Charter | B. Operating framework and accountabilities | C. Implementation roadmap | D. Plan for operational success | E. All of the above | F. None of the above,E,All of the above,E,All of the above,verified,,"The correct selections match the elements, principles, activities, or examples associated with the concept on the cited DMBOK page(s). The remaining choices either introduce a different concept, reverse a condition, or fall outside the set being tested.",A Data Governance strategy defines the scope and approach to governance efforts.,82,84,2.5 Develop Data Governance Strategy,True
