source_group,source_name,source_question,source_record_id,question,source_answer,action,duplicate_of,verification_status,verified_answer,dmbok_2017_pages,dmbok_2024_pages,notes
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,11,dsp1-q011,Which is the most accurate definition of the term data lifecycle?,"The path along which data moves from its point of origin to its point of storage, usage, or disposal",added,,verified,"The path along which data moves from its point of origin to its point of storage, usage, or disposal",173,169,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,12,dsp1-q012,What is the correct definition of change data capture?,A Data Integration approach that updates a Data Warehouse with small changes from Operational Systems,added,,verified,A Data Integration approach that updates a Data Warehouse with small changes from Operational Systems,190,185,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,13,dsp1-q013,What is the purpose of the Conceptual Data Model?,To capture high-level data requirements as a collection of related concepts,added,,verified,To capture high-level data requirements as a collection of related concepts,145,143,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,14,dsp1-q014,A dataset composed of county-level statistics provided by the national government would be an example of:,Reference Data,added,,verified,Reference Data,350,332,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,15,dsp1-q015,"When Metadata activities are focused on documents, the information is referred to as…",Preservation Metadata,added,,verified,Preservation Metadata,425,402,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,16,dsp1-q016,"A dataset composed of the X, Y coordinates of company store locations would be an example of:",Master Data,added,,verified,Master Data,359,340,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,17,dsp1-q017,What causes data redundancy or data rot?,All of the above,added,,verified,All of the above,29,32,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,18,dsp1-q018,What is the definition of a business rule in the context of Data Governance?,Defines constraints on what can and cannot be done in the organization,added,,verified,Defines constraints on what can and cannot be done in the organization,464,432,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,19,dsp1-q019,A dataset composed of customer credit reports purchased from a third-party vendor would be an example of:,Reference Data,added,,verified,Reference Data,352,334,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,20,dsp1-q020,Which of the following is true of a recursive relationship?,All of the above,added,,verified,All of the above,131,131,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,21,dsp1-q021,What is the purpose of the Physical Data Model?,To document how data should be stored and accessed,added,,verified,To document how data should be stored and accessed,148,145,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,22,dsp1-q022,Which of the following is the best definition of referential integrity?,Rules that ensure data validity,added,,verified,Rules that ensure data validity,468,439,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,23,dsp1-q023,Which of the following is the best definition of a Data Warehouse?,Any data stores or extracts used to support the delivery of Business Intelligence,added,,verified,Any data stores or extracts used to support the delivery of Business Intelligence,384,364,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,24,dsp1-q024,What is the purpose of a data lineage tool?,To track historical changes to a dataset,excluded,,excluded_source_conflict,,,,"The source key/citation does not state the DMBOK purpose of a lineage tool; no listed choice fully captures source-to-target movement, transformation, and impact analysis."
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,25,dsp1-q025,What is the purpose of the Logical Data Model?,To define the structure of data elements and the relationships between them,added,,verified,To define the structure of data elements and the relationships between them,146,144,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,26,dsp1-q026,What are the two perspectives on an organization's data?,Business and technical perspectives,added,,verified,Business and technical perspectives,87,81,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,27,dsp1-q027,Which international initiative established a capital standard for banking institutions?,Basel II,added,,verified,Basel II,247,237,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,28,dsp1-q028,What is the definition of cardinality?,Defines how many instances of one entity are related to instances of another entity,added,,verified,Defines how many instances of one entity are related to instances of another entity,130,130,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,29,dsp1-q029,Which of the following is NOT a part of the Strategic Alignment Model?,Stakeholder Management,added,,verified,Stakeholder Management,34,36,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,30,dsp1-q030,Why would an organization choose to purchase Reference Data?,To enhance data quality and to facilitate analysis across the organization,added,,verified,To enhance data quality and to facilitate analysis across the organization,353,338,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,31,dsp1-q031,Which of the following is at the core of the DAMA wheel?,Data Governance,added,,verified,Data Governance,35,37,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,32,dsp1-q032,A Business Continuity Plan should include which of the following?,Outline of how a business will continue operating during an unplanned disruption in service,added,,verified,Outline of how a business will continue operating during an unplanned disruption in service,327,310,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,33,dsp1-q033,Which organization should be responsible for leading Data Governance?,Data Governance Council,added,,verified,Data Governance Council,83,86,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,34,dsp1-q034,Which of the following statements is NOT true of DAMA's Environmental Factors Hexagon?,It elaborates on the relationship between knowledge areas,added,,verified,It elaborates on the relationship between knowledge areas,35,38,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,35,dsp1-q035,What is the definition of a surrogate key?,"A unique identifier attached to each record, which may be used as a primary key",added,,verified,"A unique identifier attached to each record, which may be used as a primary key",134,133,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,36,dsp1-q036,Which of the following is the correct definition of data mining?,"The process of finding anomalies, patterns, and correlations within large datasets to predict outcomes",added,,verified,"The process of finding anomalies, patterns, and correlations within large datasets to predict outcomes",507,481,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,37,dsp1-q037,Which of the following is NOT a responsibility of the Data Quality Oversight Board?,Conducting feedback interviews with customers,added,,verified,Conducting feedback interviews with customers,474,425,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,38,dsp1-q038,"Which of the following represents the number of connections in a point-to-point Data Integration system, where n represents the number of databases to be integrated?",(n (n - 1)) / 2,added,,verified,(n (n - 1)) / 2,280,267,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,39,dsp1-q039,What are relationship labels in database technology?,Verb phrases describing business rules in each direction between two entities,added,,verified,Verb phrases describing business rules in each direction between two entities,160,158,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,40,dsp1-q040,What is the purpose of ISO 8000?,Enable the exchange of complex information in an application-neutral form,added,,verified,Enable the exchange of complex information in an application-neutral form,461,465,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,41,dsp1-q041,"A specific type of metadata that focuses on the context, meaning, and relevance of data within an organization is called…",Business Metadata,duplicate,dsp1-q008,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,42,dsp1-q042,Which of the following statements describes Master & Reference Data?,Master Data provides the context for business activity data in the form of common and abstract concepts while Reference Data is used solely to relate data in a database to information beyond the boundaries of the organization,added,,verified,Master Data provides the context for business activity data in the form of common and abstract concepts while Reference Data is used solely to relate data in a database to information beyond the boundaries of the organization,350,332,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,43,dsp1-q043,Which is the most important Data Quality dimension?,It is impossible to identify the most important Data Quality dimension,added,,verified,It is impossible to identify the most important Data Quality dimension,458,429,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,44,dsp1-q044,What is an alternate key?,A candidate key not selected to be the primary key,added,,verified,A candidate key not selected to be the primary key,134,133,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,45,dsp1-q045,Which process involves creating artifacts to describe the existing state of data across an organization?,Data Architecture,added,,verified,Data Architecture,98,100,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,46,dsp1-q046,The Physical Data Model does NOT include which of the following?,Indicator of Data Steward owner,added,,verified,Indicator of Data Steward owner,201,195,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,47,dsp1-q047,What are three qualities of an effective Data Governance process?,"Sustainable, embedded, measured",duplicate,chapter-3-q007,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,48,dsp1-q048,Which of the following is NOT a key?,Logical key,added,,verified,Logical key,133,133,
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,49,dsp1-q049,What are the Belmont Principles?,"Respect for Persons, Beneficence, Justice",duplicate,chapter-2-q004,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 1,Data Strategy Professionals Question Set #1,50,dsp1-q050,What is the name of the legislation that protects educational records in the United States?,FERPA,added,,verified,FERPA,237,228,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,1,dsp2-q001,Which of the following Data Storage systems supplies advanced analytics?,Data Warehouse,added,,verified,Data Warehouse,383,362,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,2,dsp2-q002,How is Data Governance defined?,Exercise of authority and control over the management of data assets,added,,verified,Exercise of authority and control over the management of data assets,67,69,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,3,dsp2-q003,How does metadata help an organization?,Reduce data-oriented research time,added,,verified,Reduce data-oriented research time,420,397,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,4,dsp2-q004,What is the main objective when implementing a Data Warehouse?,Enable effective business analysis and decision-making,added,,verified,Enable effective business analysis and decision-making,383,362,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,5,dsp2-q005,"Which of the following is a directive that codifies principles and management intent into fundamental rules governing the creation, acquisition, integrity, security, quality, and use of data?",Data policy,added,,verified,Data policy,77,79,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,6,dsp2-q006,Which of the following represents the type of data analysis aimed at understanding organizational activities and opportunities?,Business Intelligence,added,,verified,Business Intelligence,384,364,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,7,dsp2-q007,What is the definition of Industry Reference Data?,Datasets that are created and maintained by industry associations to provide a common standard for codifying important concepts,added,,verified,Datasets that are created and maintained by industry associations to provide a common standard for codifying important concepts,356,337,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,8,dsp2-q008,Which of the following is most crucial for risk management?,Metadata,added,,verified,Metadata,418,397,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,9,dsp2-q009,"In addition to ongoing updates, what is the other main Data Integration process that takes place in a Data Warehouse?",Historical load,added,,verified,Historical load,392,371,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,10,dsp2-q010,Which of the following data masking methods replaces the original data with a substitute value that is a random value or standard pattern similar to the original data?,Substitution,added,,verified,Substitution,228,220,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,11,dsp2-q011,Which of the following are categories of metadata?,"Business, technical, and operational",added,,verified,"Business, technical, and operational",422,399,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,12,dsp2-q012,What is the definition of an entity?,A thing about which an organization collects information,added,,verified,A thing about which an organization collects information,127,127,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,13,dsp2-q013,Which of the following processes refers to the selection of required data from its source?,Extract,added,,verified,Extract,273,261,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,14,dsp2-q014,"Depending on the database technology or data modeling tool and whether the entities involved have mutual dependencies, when a relationship is defined between two entities, which of the following may be created implicitly?",A foreign key,added,,verified,A foreign key,132,132,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,15,dsp2-q015,Which kind of metadata provides information about content and condition of the data?,Business metadata,duplicate,dsp1-q008,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,16,dsp2-q016,A combined set of attributes that uniquely identify an entity instance is a…,Super key,added,,verified,Super key,134,133,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,17,dsp2-q017,Which of the following statements accurately characterizes the difference between data processing in a traditional Data Warehouse and a Big Data environment?,"In a traditional Data Warehouse, data is extracted, transformed, and then loaded; while in a Big Data environment, data is extracted, loaded, and then transformed",added,,verified,"In a traditional Data Warehouse, data is extracted, transformed, and then loaded; while in a Big Data environment, data is extracted, loaded, and then transformed",503,476,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,18,dsp2-q018,Which of the following provides a means of standardizing the possible values of a data element?,A domain,added,,verified,A domain,135,134,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,19,dsp2-q019,"When data values must be associated in chronological order and with specific time values, how does the DMBOK refer to the type of patterns that are used?",Time-based patterns,duplicate,chapter-5-q020,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,20,dsp2-q020,Bandwidth can be reduced by filtering an update to include only data that has been changed within a defined timeframe. What is the name for this process?,Change data capture,duplicate,chapter-8-q010,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,21,dsp2-q021,Which of the following is a Data Quality principle?,All of the above,added,,verified,All of the above,452,428,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,22,dsp2-q022,Applications often compete for access to the same dataset. How can this issue be remedied?,Setting up data replication,added,,verified,Setting up data replication,279,266,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,23,dsp2-q023,The data modeling technique suited for information that changes over time in both structure and content is…,Anchor modeling,added,,verified,Anchor modeling,142,141,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,24,dsp2-q024,Which of the following is a downside of the hub-and-spoke model of Data Integration?,It creates performance bottlenecks,added,,verified,It creates performance bottlenecks,281,268,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,25,dsp2-q025,How does the DMBOK refer to an organization that values data as an asset and manages data through all phases of its lifecycle?,A data-centric organization,added,,verified,A data-centric organization,73,75,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,26,dsp2-q026,Which components are included in the three-schema approach to database management developed by SPARC?,"Conceptual, external, internal",duplicate,practice-test-1-q023,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,27,dsp2-q027,Which of the following terms refers to multiple processes that are organized and executed in a system?,Orchestration,duplicate,practice-test-1-q048,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,28,dsp2-q028,"Which term refers to the technical team that will ensure data meets organizational needs, define technical architecture, and install and administer technology?",Database technology support,added,,verified,Database technology support,170,166,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,29,dsp2-q029,Which of the following is a valid description of Data Management?,All of the above,added,,verified,All of the above,17,19,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,30,dsp2-q030,The purpose of a business glossary is to…,"Document an organization’s business concepts and terminology, definitions, and the relationships between those terms",added,,verified,"Document an organization’s business concepts and terminology, definitions, and the relationships between those terms",426,403,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,31,dsp2-q031,What is the most significant business driver for developing organizational capabilities around Big Data and Data Science?,The desire to find and act on business opportunities that may be discovered through large datasets,duplicate,practice-test-1-q100,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,32,dsp2-q032,"Which principles focus on ideas such as fairness, transparency, and reliability?",Data Ethics principles,added,,verified,Data Ethics principles,49,51,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,33,dsp2-q033,"Ensuring the performance and reliability of the database through performance tuning, monitoring, error reporting, and other activities is a responsibility of…",Production DBAs,added,,verified,Production DBAs,173,170,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,34,dsp2-q034,Which of the following is one of the responsibilities of a Data Architect?,Describe the current state of data and information delivery throughout the enterprise,added,,verified,Describe the current state of data and information delivery throughout the enterprise,99,101,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,35,dsp2-q035,Which of the following is a guiding principle of Data Storage & Operations?,Identify and act on automation opportunities,added,,verified,Identify and act on automation opportunities,171,168,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,36,dsp2-q036,What term is used to describe how many instances of one entity are involved in the relationship with instances of another entity?,Relationship Cardinality,duplicate,dsp1-q028,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,37,dsp2-q037,What is the purpose of Data Governance?,"Ensure that data is managed properly, according to policies and best practices",duplicate,chapter-3-q001,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,38,dsp2-q038,Which of the following is a core assumption underlying Data Ethics?,Data has economic value,added,,verified,Data has economic value,49,51,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,39,dsp2-q039,Which of the following statements regarding the principles of Data Management is NOT accurate?,The primary goal is to ensure the organization understands stakeholders’ requirements for the quality of data,added,,verified,The primary goal is to ensure the organization understands stakeholders’ requirements for the quality of data,21,24,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,40,dsp2-q040,A Data Governance program should be…,All of the above,added,,verified,All of the above,71,74,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,41,dsp2-q041,What is Data Stewardship?,A position accountable and responsible for data within a specified domain,duplicate,dsp1-q010,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,42,dsp2-q042,What is the difference between metadata and data?,Metadata provides meaningful information about data,added,,verified,Metadata provides meaningful information about data,422,399,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,43,dsp2-q043,Which process focuses on enabling an integrated and historical business context on operational data?,Data Warehousing,added,,verified,Data Warehousing,385,364,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,44,dsp2-q044,Which of the following is NOT a goal of Data Quality?,"Understand and comply with all relevant regulations and policies for privacy, protection, and confidentiality",added,,verified,"Understand and comply with all relevant regulations and policies for privacy, protection, and confidentiality",451,426,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,45,dsp2-q045,What is the most common definition of metadata?,Data about data,added,,verified,Data about data,417,395,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,46,dsp2-q046,Which of the following allows the capture and maintenance of the source structures for each attribute on the data model?,Lineage tools,added,,verified,Lineage tools,159,157,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,47,dsp2-q047,"A company wants to show the growth of their sales from the past year to the current year. They create two bar charts that show the sales for each year. However, they use a different scale for the current year’s sales that makes it look like the sales have grown much more than they actually have. Which unethical data handling risk is presented in this case study?",Misleading visualizations,added,,verified,Misleading visualizations,57,59,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,48,dsp2-q048,Which of the following refers to the boundary between an organization’s environments and exterior systems?,Perimeter,added,,verified,Perimeter,230,222,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,49,dsp2-q049,What can an organization NOT do without Metadata?,All of the above,added,,verified,All of the above,418,397,
Data Strategy Professionals Set 2,Data Strategy Professionals Question Set #2,50,dsp2-q050,Data Privacy laws exist to…,Establish the right to the protection of one's personal data,added,,verified,Establish the right to the protection of one's personal data,53,55,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,1,dsp3-q001,What is the primary goal of sentiment analysis?,"To classify the text based on the mood or mentality expressed in the text, which can be positive, negative, or neutral",added,,verified,"To classify the text based on the mood or mentality expressed in the text, which can be positive, negative, or neutral",507,480,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,2,dsp3-q002,What is the purpose of Data Modeling?,Providing for the understanding the organization’s data,added,,verified,Providing for the understanding the organization’s data,126,126,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,3,dsp3-q003,Big Data was initially characterized by _______ V's but the number of V's has been expanded to _______.,"3, 6",added,,verified,"3, 6",502,476,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,4,dsp3-q004,What is the purpose of a Data Flow Design diagram?,Shows how data moves through business processes and systems,added,,verified,Shows how data moves through business processes and systems,107,109,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,5,dsp3-q005,"According to the DMBOK, more than _______ of the documents created today are electronic.",90%,added,,verified,90%,315,299,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,6,dsp3-q006,"The implementation of a Data Warehouse should comply with the following guiding principles, except:",Ensure business analysts are involved in decision support activities across the enterprise,duplicate,chapter-11-q004,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,7,dsp3-q007,The process of improving first-party data with context from external sources is called...,Data enhancing,added,,verified,Data enhancement,471,452,Editorial wording normalized from “Data enhancing” to the DMBOK term “Data enhancement”; the keyed answer is unchanged.
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,8,dsp3-q008,Which of the following is used to exchange information in the Semantic Web?,Ontology,added,,verified,Ontology,314,297,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,9,dsp3-q009,Which of the following is NOT a Master Data Management project?,Cloud Computing Management (CCM),excluded,,excluded_ambiguous,,,,The “NOT an MDM project” stem has more than one defensible distractor and therefore does not support one unambiguous DMBOK answer.
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,10,dsp3-q010,Data Management principles include all but one of the following?,Data Management must be conducted by experts,added,,verified,Data Management must be conducted by experts,21,23,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,11,dsp3-q011,Data created while operational processes are in progress is referred to as...,Business event information,added,,verified,Business event information,127,126,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,12,dsp3-q012,What is the importance of Data Governance in Data Management?,It governs how decisions are made about data and how people and processes are expected to behave in relation to data,duplicate,chapter-3-q001,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,13,dsp3-q013,Basic data profiling involves analysis of all of the following except:,Correct data flow throughout the organization,added,,verified,Correct data flow throughout the organization,288,275,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,14,dsp3-q014,"In the context of Data Warehousing, what does the acronym CIF stand for?",Corporate Information Factory,duplicate,chapter-11-q007,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,15,dsp3-q015,Which of the following is NOT a function of Data Architects?,Strategize on how to procure data that meets the needs of the organization,added,,verified,Strategize on how to procure data that meets the needs of the organization,99,101,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,16,dsp3-q016,Two systems that are tightly coupled are characterized by what kind of interface?,Synchronous,added,,verified,Synchronous,281,268,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,17,dsp3-q017,What is e-discovery?,The process of finding electronic records that might serve as evidence in a legal action,duplicate,chapter-9-q001,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,18,dsp3-q018,Which of the following can be described as goals of a Master and Reference Data Management program?,"Make sure that the enterprise has complete, current and authoritative master and reference data for their organizational processes; provide Master & Reference Data across all functions and applications of the enterprise; reduce the cost and complexity of data usage through common data models",added,,verified,"Make sure that the enterprise has complete, current and authoritative master and reference data for their organizational processes; provide Master & Reference Data across all functions and applications of the enterprise; reduce the cost and complexity of data usage through common data models",349,331,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,19,dsp3-q019,Which data model pattern can be used to construct self-referencing hierarchies?,Elementary pattern,added,,verified,Elementary pattern,160,158,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,20,dsp3-q020,What happens in an asynchronous data flow?,Data is transferred between two devices without the need for a real-time response,added,,verified,Data is transferred between two devices without the need for a real-time response,277,264,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,21,dsp3-q021,Why must all systems handling messages or data packets be able to manage the order of execution of those processes?,To preserve consistency and continuity,added,,verified,To preserve consistency and continuity,282,269,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,22,dsp3-q022,What is accuracy?,Ensuring data correctly represents 'real-life' entities,duplicate,chapter-13-q006,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,23,dsp3-q023,Which of the following describes Information Technology (IT) Governance?,"Informs decisions about IT investments, projects, and application portfolios",added,,verified,"Informs decisions about IT investments, projects, and application portfolios",71,73,
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,24,dsp3-q024,Big Data characterized by...,"Volume, Variety, Velocity",duplicate,practice-test-2-q100,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,25,dsp3-q025,Data is important to organizations in all but one of the following ways:,Organizations sell data to third-parties,added,,verified,Organizations sell data to third-parties,"18, 21","19, 21",
Data Strategy Professionals Set 3,Data Strategy Professionals Question Set #3,26,dsp3-q026,The understanding of data in terms of economic value is referred to as...,Data asset valuation,duplicate,chapter-3-q015,duplicate,,,,Semantic duplicate: same DMBOK proposition and answer logic as the retained item.
